district,county,population,lat,long
1,1,1549,36.7526215,-109.8472295
1,1,4491,36.7552563,-109.3680582
1,1,5348,35.9506832,-109.14614160000001
1,1,5495,36.3889115,-109.316317
1,1,4021,36.1534278,-109.6853411
1,1,3608,36.1701171,-109.4799539
1,1,3789,36.3300438,-109.7600217
1,1,2685,35.984412,-109.6033735
1,1,3369,35.6217526,-109.3752943
1,1,4201,35.5760801,-109.7284117
1,1,4133,35.706181,-109.1164586
1,1,3589,35.4164983,-109.1802743
1,1,2132,35.0870836,-109.3201073
1,1,2569,34.5195529,-109.3036715
1,1,2610,34.7804394,-109.5695138
1,1,3216,34.3155138,-109.2663052
1,1,4449,34.111854,-109.2865313
1,1,4767,33.9271551,-109.5146032
1,3,1071,32.2358444,-109.3276066
1,3,745,32.0420304,-109.545964
1,3,3098,32.2867224,-109.9856787
1,3,3382,32.2379491,-109.8162616
1,3,2540,32.0384375,-109.8463404
1,3,4029,31.9582989,-110.3045946
1,3,3400,32.200019,-110.2836792
1,3,2328,31.8583077,-110.3488921
1,3,2681,31.9576604,-110.1522855
1,3,2084,31.7988342,-110.0286429
1,3,1924,31.693002,-109.4347432
1,3,921,31.4830774,-109.7199421
1,3,2063,31.5362981,-109.6025499
1,3,2600,31.4446761,-109.4183013
1,3,4833,31.3644348,-109.4911064
1,3,5130,31.380745,-109.5244977
1,3,3305,31.3389567,-109.55035
1,3,2684,31.3532519,-109.5503303
1,3,1464,31.5294519,-109.8948529
1,3,3103,31.379947,-109.8356632
1,3,2753,31.4646753,-110.0397849
1,3,2333,31.7189466,-110.2919959
1,3,2788,31.6737824,-110.3991268
1,3,3437,31.6101997,-110.3092853
1,3,1802,31.5071568,-110.3621165
1,3,3329,31.5450043,-110.296769
1,3,3633,31.5620233,-110.2997864
1,3,5280,31.5597818,-110.2836592
1,3,3038,31.5575249,-110.2676901
1,3,4355,31.5468536,-110.2490685
1,3,3658,31.5741144,-110.1933318
1,3,5039,31.5432817,-110.2155619
1,3,5649,31.5250418,-110.2679189
1,3,3372,31.5391977,-110.2777759
1,3,7114,31.478861,-110.2729554
1,3,5453,31.4740464,-110.2417853
1,3,4295,31.4849732,-110.1681517
1,3,4734,31.3912782,-110.262153
1,5,3395,35.1842267,-111.5562321
1,5,5375,35.2731014,-111.5396656
1,5,5547,35.3071243,-111.3838286
1,5,3528,34.8019504,-111.1794127
1,5,3696,36.7493591,-111.0190583
1,5,3888,36.0513606,-111.1899102
1,5,3342,35.7381569,-111.0325471
1,5,4056,36.1249476,-111.2520343
1,7,2908,34.3038564,-111.5611224
1,7,2132,34.3326171,-111.1381778
1,7,5775,34.2430422,-111.3385901
1,7,3042,34.0799015,-111.4297528
1,7,5307,34.2901451,-111.2569524
1,7,5706,34.1660965,-111.2387537
1,7,1569,34.0978185,-111.0155491
1,7,1695,33.7754809,-111.0929434
1,7,1099,33.452695,-110.9371613
1,7,2502,33.3973227,-110.8447033
1,7,4605,33.6236514,-110.7161952
1,7,3660,33.4138812,-110.765111
1,7,4872,33.2947891,-110.7760408
1,7,1044,33.1461311,-110.8030259
1,7,1825,33.8847663,-110.3394452
1,7,5531,33.4885424,-110.4235097
1,9,4720,33.301443,-109.9890866
1,9,4849,32.9491802,-109.9028859
1,9,3918,32.8638683,-109.75446
1,9,4102,32.8057813,-109.8012174
1,9,3083,32.8303303,-109.7184684
1,9,5293,32.8141246,-109.7192896
1,9,4702,32.6273007,-109.4307135
1,9,2563,32.7156277,-110.0977676
1,9,5303,32.8913628,-109.5331779
1,11,2951,33.4834297,-109.2829279
1,11,4084,32.9929864,-109.3323888
1,11,2528,32.7537823,-109.1416554
1,17,1258,36.291957,-110.2982373
1,17,2642,36.0217696,-110.1118375
1,17,3040,36.1694977,-110.1756033
1,17,2643,36.0383191,-110.6137878
1,17,3790,35.7509151,-110.3264235
1,17,2382,35.4148965,-110.0036724
1,17,4071,35.3510601,-110.4421656
1,17,4282,34.1330067,-110.3414721
1,17,4597,33.853378,-109.9788321
1,17,3116,33.7298265,-109.926978
1,17,2231,36.6840509,-110.6114408
1,17,2682,36.8522588,-110.1152414
1,17,4808,36.715273,-110.2384406
1,17,1813,35.0823669,-110.0053042
1,17,3498,34.8537838,-110.0427443
1,17,3580,35.1110317,-110.5813952
1,17,3618,34.8941297,-110.448289
1,17,4453,35.1103802,-110.7070767
1,17,3454,34.1607418,-109.9934566
1,17,3414,34.2152651,-110.0117145
1,17,3664,34.2144605,-110.0462097
1,17,1567,34.1334069,-109.9639251
1,17,1286,34.1180935,-109.943925
1,17,5090,34.5743946,-110.2657888
1,17,3478,34.6202365,-109.9875343
1,17,1855,34.409618,-110.5457694
1,17,4508,34.440682,-110.0453193
1,17,1864,34.4126384,-110.5865747
1,17,1559,34.4058906,-110.5058876
1,17,2724,34.2915391,-110.1683208
1,17,1872,34.230354,-110.1010661
1,17,1047,34.123774,-109.9094857
1,17,947,34.1239444,-109.8771106
1,17,2446,34.2595367,-110.0743124
1,17,2763,34.2610777,-110.0414366
1,17,1525,34.2159046,-109.9107823
1,17,3150,34.3330339,-110.0047372
1,19,5103,32.2740612,-110.72478
1,19,2026,32.4001644,-110.6185523
1,19,5242,32.1497781,-110.5711158
1,19,8543,32.0765828,-110.7438548
1,19,5402,32.1204197,-110.7253416
1,19,4270,32.0620712,-110.7017885
1,19,5908,31.8894426,-110.6151708
1,19,7335,31.9460601,-110.7655209
1,19,5516,31.8500191,-110.7833772
1,19,3689,31.875496,-110.972789
1,19,4107,31.8172034,-110.9350277
1,19,2411,31.8893032,-110.945907
1,19,3389,31.8734718,-110.9841747
1,19,4529,32.0273642,-111.2708388
1,19,3106,31.7500778,-111.3591984
1,19,3160,31.8736368,-110.9930679
1,19,3020,31.789241,-111.0148197
1,19,1914,31.8204799,-111.0919521
1,19,4054,31.9323604,-110.9733153
1,19,5257,31.9439239,-111.0346923
1,19,3425,31.8436993,-111.0372744
1,19,1806,31.8565598,-111.0026339
1,19,1818,31.8694458,-111.0155247
1,19,2360,31.8907711,-111.0020221
1,19,1411,31.880825,-111.0114759
1,19,6585,32.1238528,-111.1570535
1,19,5798,32.4435325,-111.3215581
1,19,4108,32.3354012,-111.1799972
1,19,3857,32.131615,-111.3141621
1,19,6305,32.3829457,-111.4550797
1,19,2673,32.3494027,-111.0916376
1,19,3274,32.4316723,-111.2554718
1,19,6579,32.4088335,-111.1833437
1,19,3208,32.2132631,-111.168207
1,19,4883,32.3870961,-111.1442048
1,19,3086,32.3719004,-111.1126771
1,19,3542,32.375874,-111.1261633
1,19,3208,32.345265499999996,-111.1093926
1,19,4758,32.3511105,-111.1274296
1,19,2162,32.388118,-111.0635509
1,19,3623,32.3844195,-111.0383759
1,19,1892,32.4081761,-111.0348829
1,19,5188,32.4031958,-110.9893822
1,19,7100,32.4168477,-110.9869521
1,19,5243,32.4032681,-111.0987958
1,19,6933,32.4623919,-110.9936889
1,19,3847,32.4311735,-110.9884729
1,19,4918,32.434295,-110.9530122
1,19,4158,32.4847191,-110.9509149
1,19,2579,32.3688821,-111.0576095
1,19,5591,32.3719508,-111.0733943
1,19,6691,32.4720237,-111.1476931
1,19,1630,32.4757317,-111.0349044
1,19,5778,32.4354038,-111.0595232
1,19,4647,32.4986703,-110.9048382
