tract_new,county,pop100,intptlat,intptlon,tract
001942600,001,1549,36.7526215,-109.8472295,942600
001942700,001,4491,36.7552563,-109.3680582,942700
001944000,001,5348,35.9506832,-109.14614160000001,944000
001944100,001,5495,36.3889115,-109.316317,944100
001944201,001,4021,36.1534278,-109.6853411,944201
001944202,001,3608,36.1701171,-109.4799539,944202
001944301,001,3789,36.3300438,-109.7600217,944301
001944302,001,2685,35.984412,-109.6033735,944302
001944901,001,3369,35.6217526,-109.3752943,944901
001944902,001,4201,35.5760801,-109.7284117,944902
001945001,001,4133,35.706181,-109.1164586,945001
001945002,001,3589,35.4164983,-109.1802743,945002
001945100,001,2132,35.0870836,-109.3201073,945100
001970201,001,2569,34.5195529,-109.3036715,970201
001970202,001,2610,34.7804394,-109.5695138,970202
001970300,001,3216,34.3155138,-109.2663052,970300
001970501,001,4449,34.111854,-109.2865313,970501
001970502,001,4767,33.9271551,-109.5146032,970502
003000101,003,1071,32.2358444,-109.3276066,000101
003000102,003,745,32.0420304,-109.545964,000102
003000201,003,3098,32.2867224,-109.9856787,000201
003000202,003,3382,32.2379491,-109.8162616,000202
003000203,003,2540,32.0384375,-109.8463404,000203
003000301,003,4029,31.9582989,-110.3045946,000301
003000303,003,3400,32.200019,-110.2836792,000303
003000304,003,2328,31.8583077,-110.3488921,000304
003000305,003,2681,31.9576604,-110.1522855,000305
003000400,003,2084,31.7988342,-110.0286429,000400
003000501,003,1924,31.693002,-109.4347432,000501
003000502,003,921,31.4830774,-109.7199421,000502
003000503,003,2063,31.5362981,-109.6025499,000503
003000600,003,2600,31.4446761,-109.4183013,000600
003000700,003,4833,31.3644348,-109.4911064,000700
003000800,003,5130,31.380745,-109.5244977,000800
003000901,003,3305,31.3389567,-109.55035,000901
003000902,003,2684,31.3532519,-109.5503303,000902
003001000,003,1464,31.5294519,-109.8948529,001000
003001100,003,3103,31.379947,-109.8356632,001100
003001200,003,2753,31.4646753,-110.0397849,001200
003001301,003,2333,31.7189466,-110.2919959,001301
003001302,003,2788,31.6737824,-110.3991268,001302
003001401,003,3437,31.6101997,-110.3092853,001401
003001402,003,1802,31.5071568,-110.3621165,001402
003001501,003,3329,31.5450043,-110.296769,001501
003001502,003,3633,31.5620233,-110.2997864,001502
003001601,003,5280,31.5597818,-110.2836592,001601
003001602,003,3038,31.5575249,-110.2676901,001602
003001701,003,4355,31.5468536,-110.2490685,001701
003001702,003,3658,31.5741144,-110.1933318,001702
003001703,003,5039,31.5432817,-110.2155619,001703
003001801,003,5649,31.5250418,-110.2679189,001801
003001802,003,3372,31.5391977,-110.2777759,001802
003001900,003,7114,31.478861,-110.2729554,001900
003002001,003,5453,31.4740464,-110.2417853,002001
003002002,003,4295,31.4849732,-110.1681517,002002
003002100,003,4734,31.3912782,-110.262153,002100
005000100,005,3873,35.227087,-111.6698017,000100
005000200,005,4097,35.2221165,-111.6419963,000200
005000301,005,3957,35.2219231,-111.6227801,000301
005000302,005,2819,35.2037291,-111.6214308,000302
005000400,005,5343,35.2175661,-111.6056026,000400
005000500,005,5007,35.2275284,-111.5565227,000500
005000601,005,2010,35.1995905,-111.5857273,000601
005000602,005,3395,35.1842267,-111.5562321,000602
005000700,005,4143,35.1950704,-111.6068817,000700
005000800,005,6313,35.1853494,-111.6332344,000800
005000901,005,5033,35.1425948,-111.669667,000901
005000902,005,3539,35.1595142,-111.6194616,000902
005001000,005,10422,35.1818461,-111.6550601,001000
005001101,005,5229,35.1703525,-111.6828522,001101
005001103,005,5208,35.192043,-111.6791709,001103
005001104,005,4937,35.1853297,-111.6832034,001104
005001201,005,2738,35.2082327,-111.6705249,001201
005001301,005,5375,35.2731014,-111.5396656,001301
005001302,005,5547,35.3071243,-111.3838286,001302
005001500,005,3528,34.8019504,-111.1794127,001500
005001601,005,1787,34.857889900000004,-111.7330042,001601
005001602,005,1223,34.940454,-111.7447106,001602
005001700,005,3347,35.2369299,-112.203011,001700
005002000,005,1918,36.6928807,-112.1341969,002000
005002101,005,3870,36.9290562,-111.4454122,002101
005002102,005,3562,36.8942802,-111.4759058,002102
005002201,005,4081,35.5699311,-111.7723248,002201
005002202,005,2928,35.0924324,-111.695974,002202
005002301,005,3947,35.7876126,-112.655051,002301
005002302,005,3234,35.3461639,-111.9931236,002302
005942201,005,3678,36.5452151,-111.3261199,942201
005942202,005,3696,36.7493591,-111.0190583,942202
005944900,005,3888,36.0513606,-111.1899102,944900
005945000,005,4006,36.1799997,-111.5543782,945000
005945100,005,3342,35.7381569,-111.0325471,945100
005945200,005,4056,36.1249476,-111.2520343,945200
005980000,005,25,36.2328305,-112.2253185,980000
007000100,007,2908,34.3038564,-111.5611224,000100
007000200,007,2132,34.3326171,-111.1381778,000200
007000301,007,5775,34.2430422,-111.3385901,000301
007000302,007,3042,34.0799015,-111.4297528,000302
007000400,007,5307,34.2901451,-111.2569524,000400
007000500,007,5706,34.1660965,-111.2387537,000500
007000600,007,1569,34.0978185,-111.0155491,000600
007000700,007,1695,33.7754809,-111.0929434,000700
007000800,007,1099,33.452695,-110.9371613,000800
007000900,007,2502,33.3973227,-110.8447033,000900
007001000,007,4605,33.6236514,-110.7161952,001000
007001100,007,3660,33.4138812,-110.765111,001100
007001200,007,4872,33.2947891,-110.7760408,001200
007001300,007,1044,33.1461311,-110.8030259,001300
007940200,007,1825,33.8847663,-110.3394452,940200
007940400,007,5531,33.4885424,-110.4235097,940400
009940500,009,4720,33.301443,-109.9890866,940500
009961100,009,4849,32.9491802,-109.9028859,961100
009961201,009,3918,32.8638683,-109.75446,961201
009961202,009,4102,32.8057813,-109.8012174,961202
009961300,009,3083,32.8303303,-109.7184684,961300
009961400,009,5293,32.8141246,-109.7192896,961400
009961500,009,4702,32.6273007,-109.4307135,961500
009961600,009,2563,32.7156277,-110.0977676,961600
009961700,009,5303,32.8913628,-109.5331779,961700
011960100,011,2951,33.4834297,-109.2829279,960100
011960200,011,4084,32.9929864,-109.3323888,960200
011960300,011,2528,32.7537823,-109.1416554,960300
012020101,012,935,33.99638,-113.6502748,020101
012020102,012,1028,33.5400835,-113.5599934,020102
012020201,012,1773,34.2001462,-114.1921779,020201
012020202,012,581,34.1639048,-113.9915322,020202
012020501,012,1419,33.6525458,-113.9500259,020501
012020503,012,1043,33.8421404,-114.1609983,020503
012020504,012,820,33.7992196,-114.2765486,020504
012020505,012,939,33.5623754,-114.2025444,020505
012020602,012,983,33.184794,-114.6172497,020602
012940200,012,3414,34.1504951,-114.2903545,940200
012940300,012,3622,33.8749524,-114.3598873,940300
013010102,013,5592,33.7128794,-111.5743081,010102
013010103,013,3779,33.7535864,-111.7538552,010103
013010104,013,2989,33.7346108,-111.6804374,010104
013030401,013,4882,33.8175437,-111.9168671,030401
013030402,013,3913,33.8615277,-111.938807,030402
013040502,013,4820,33.9760918,-112.7494475,040502
013040506,013,5809,33.6577414,-112.3366887,040506
