id,county,pop100,intptlat,intptlon
1,001,20,36.9155339,-109.759147
2,001,32,36.8457409,-109.7870307
3,001,19,36.8127471,-109.7840689
5,001,9,36.881541,-109.8077849
6,001,42,36.793971,-109.8550018
8,001,79,36.8258419,-109.8627433
9,001,11,36.8185496,-109.8759888
10,001,10,36.8070967,-109.8990245
11,001,21,36.7442632,-109.9054486
14,001,2,36.7839188,-109.9141546
18,001,8,36.7902412,-109.9455608
19,001,14,36.7736785,-109.9598491
20,001,19,36.7528763,-109.8468494
26,001,2,36.7799292,-109.7821182
27,001,4,36.7916565,-109.7520478
31,001,20,36.7734676,-109.6821663
37,001,11,36.7418594,-109.666099
39,001,3,36.7594369,-109.6926523
40,001,5,36.7403987,-109.6803066
43,001,8,36.7693341,-109.7360511
44,001,4,36.7546198,-109.750314
45,001,3,36.7303215,-109.7623806
46,001,4,36.7375531,-109.7351721
48,001,3,36.727491,-109.7100801
50,001,2,36.7255818,-109.7756804
52,001,5,36.7407352,-109.7902838
54,001,2,36.7636271,-109.8015778
57,001,9,36.738068,-109.8217188
58,001,17,36.725619,-109.8532228
65,001,8,36.6712159,-109.8048347
67,001,7,36.636867,-109.7532589
71,001,2,36.6826888,-109.7393868
78,001,14,36.6441371,-109.8093331
79,001,24,36.6666617,-109.8178273
80,001,11,36.6963542,-109.8251984
90,001,1,36.6805685,-109.9669909
98,001,3,36.7022593,-109.9931027
102,001,11,36.6996777,-109.9593603
103,001,5,36.7080846,-109.9551004
109,001,2,36.6443639,-109.9945406
116,001,16,36.6357637,-109.9565617
121,001,6,36.6735257,-109.8567566
123,001,6,36.6474096,-109.8255148
124,001,5,36.6509182,-109.8491664
132,001,2,36.6293459,-109.8453548
134,001,1,36.632978,-109.8246163
136,001,9,36.5934119,-109.8265256
144,001,9,36.6106954,-109.7164656
145,001,8,36.6282164,-109.7198056
148,001,5,36.65343,-109.69799
149,001,3,36.6845066,-109.7151509
155,001,1,36.5210771,-109.8855126
158,001,9,36.5370678,-109.8917206
159,001,2,36.5103617,-109.9330113
160,001,3,36.5017778,-109.9216629
161,001,6,36.5109728,-109.9491989
