id,county,pp_total,lat,long
2,047,1,40.3845438,-109.8140045
4,047,39,40.4224334,-109.4765616
5,035,116,40.6028201,-112.065241
6,035,38,40.5440941,-111.8314436
7,035,345,40.7172191,-111.8587666
8,035,247,40.6770186,-112.0213872
9,035,86,40.6008432,-112.0115003
11,035,163,40.4885981,-111.8800948
12,023,13,39.7165459,-111.8275978
14,025,4,37.0218808,-112.5217893
19,023,30,39.7078249,-111.8351587
20,023,18,39.6989763,-111.8332021
22,047,2,40.541445,-109.9382476
23,047,40,40.4488428,-109.5371275
25,049,2,40.3782171,-111.8455949
26,049,17,40.04581,-111.7545182
27,049,44,40.3540588,-111.9500423
28,049,186,40.3215108,-111.6983213
29,049,9,40.2678431,-111.6471154
30,049,70,40.0938541,-111.6246403
31,049,28,40.3212215,-111.9089379
32,035,193,40.4782228,-111.9119949
33,035,75,40.4804141,-111.9233245
34,035,45,40.6153148,-112.0256822
36,035,73,40.4924693,-111.887439
37,035,137,40.4913438,-111.8863887
38,035,44,40.601693,-111.843858
39,035,44,40.5377755,-111.9571728
40,035,171,40.5382519,-111.8784528
41,035,206,40.4812277,-112.0070582
42,035,544,40.5997732,-111.8883428
44,035,65,40.5646294,-111.8180667
45,035,27,40.5442624,-112.0400083
46,035,7,40.5393883,-112.0407053
48,035,10,40.5152369,-112.0093992
49,035,315,40.4760638,-111.9225973
51,035,71,40.6245723,-111.9191953
53,007,31,39.5929139,-110.8121652
54,007,170,39.5933689,-110.7865195
55,007,30,39.6020992,-110.8165965
56,049,49,40.2455679,-111.7070801
57,049,91,40.3516432,-111.72614
58,041,7,38.5157762,-111.8823606
61,019,53,38.5678619,-109.5340279
62,035,59,40.4869299,-112.0152966
63,035,88,40.6933068,-112.0312166
65,019,11,38.5432444,-109.4955021
67,035,84,40.558252,-112.0003006
68,035,65,40.5459897,-111.9787047
69,035,49,40.5799192,-111.9429401
71,035,174,40.6105594,-111.8655393
74,049,268,40.2209832,-111.626857
75,049,34,40.0097814,-111.678217
76,049,80,40.1091291,-111.6196452
77,049,431,40.451729,-111.8063889
79,049,34,40.3269372,-111.7023269
80,049,2,40.1061055,-111.5988249
81,049,21,40.4562569,-111.7680518
82,041,3,38.6865196,-112.1093151
87,049,72,40.3220254,-111.909797
89,049,37,40.0072146,-111.7436818
90,049,7,40.0597454,-111.7591308
91,049,35,40.4116556,-111.7525081
92,049,30,40.1687828,-111.6115251
93,049,40,40.3906901,-111.8531563
94,049,56,40.2422329,-111.6393514
95,049,5,40.0746124,-111.6120779
96,049,72,40.3032428,-111.7235279
97,049,255,40.280999,-111.7091655
98,049,160,40.2196921,-111.6927557
100,049,130,39.9919424,-111.7908227
101,041,7,39.0014552,-111.8633739
102,035,123,40.5418206,-111.9638373
103,035,153,40.5101469,-112.0478039
104,035,272,40.5414226,-112.0310489
