district,county,population,lat,long
1,1,3370,39.6365143,-78.5094487
1,1,4097,39.6123134,-78.7031037
1,1,2055,39.6546637,-78.7294891
1,1,3081,39.6409546,-78.7398353
1,1,3330,39.6329587,-78.7526552
1,1,1902,39.6288831,-78.7630037
1,1,2126,39.657356,-78.7675027
1,1,1431,39.6510064,-78.7722271
1,1,2899,39.6560734,-78.787004
1,1,4990,39.6281555,-78.8084386
1,1,3890,39.6432593,-78.8338076
1,1,1439,39.6519192,-78.8099723
1,1,1845,39.7081979,-78.8033273
1,1,1716,39.7091742,-78.8684222
1,1,1618,39.6898438,-78.9301097
1,1,4300,39.6632838,-78.8720813
1,1,3891,39.6570617,-78.9459687
1,1,2514,39.608748,-78.9349249
1,1,5370,39.564116,-78.8950854
1,1,3055,39.5551974,-78.9860824
1,1,3684,39.4980725,-78.9858124
1,1,5503,39.6850094,-78.7422979
1,5,3193,39.3801959,-76.8671733
1,5,4854,39.4703962,-76.8259698
1,5,2620,39.5083225,-76.8146134
1,5,2057,39.454442,-76.8550132
1,5,4587,39.5891874,-76.7735238
1,5,5762,39.6806375,-76.736502
1,13,4579,39.6754541,-77.136443
1,13,5279,39.6706736,-77.189009
1,13,4137,39.6123747,-77.105007
1,13,5460,39.6804334,-77.0358316
1,13,5112,39.5322347,-76.8964892
1,13,6504,39.5041048,-76.9081305
1,13,6180,39.4793778,-76.9523688
1,13,4255,39.4278876,-76.9469027
1,13,5840,39.414976,-76.8994209
1,13,3983,39.3851259,-76.9492567
1,13,3649,39.3844793,-76.9327976
1,13,3488,39.3736054,-76.9187527
1,13,3927,39.3937299,-76.9673047
1,13,5138,39.3747693,-76.9768098
1,13,4732,39.6850998,-76.935193
1,13,4445,39.6271134,-76.9220029
1,13,5454,39.6921647,-76.8476447
1,13,5379,39.6202712,-77.0304991
1,13,5148,39.612989,-76.9799846
1,13,4286,39.5745368,-76.9658086
1,13,3944,39.551559,-77.0263816
1,13,2838,39.5710577,-77.0352208
1,13,6176,39.5871296,-77.0312098
1,13,5929,39.5555909,-77.0019547
1,13,4754,39.5290769,-77.0032521
1,13,7778,39.6340147,-76.8340409
1,13,6928,39.5844102,-76.8784029
1,13,4710,39.47039,-77.0648802
1,13,2798,39.4388686,-77.0948506
1,13,1326,39.6289823,-77.2397116
1,13,3693,39.5362529,-77.0856235
1,13,1526,39.5720218,-77.1715007
1,13,5051,39.399685,-77.140079
1,13,5731,39.3845572,-77.1149795
1,13,3849,39.4453298,-76.9943458
1,13,5371,39.3984893,-77.0495832
1,13,3514,39.3901546,-76.9921556
1,21,5027,39.4923785,-77.3629588
1,21,1651,39.4209637,-77.4094197
1,21,1686,39.4157363,-77.4090222
1,21,1728,39.4109494,-77.4158102
1,21,6012,39.4246793,-77.4394695
1,21,7660,39.4109536,-77.4433531
1,21,4321,39.4140488,-77.4637271
1,21,4271,39.4266123,-77.4664381
1,21,5056,39.424136,-77.453806
1,21,2756,39.4194962,-77.4228616
1,21,5623,39.4551284,-77.4078207
1,21,3822,39.4326934,-77.4203868
1,21,2883,39.4324126,-77.4071631
1,21,6055,39.455722,-77.3880023
1,21,2441,39.4257211,-77.3950189
1,21,4914,39.446551,-77.3726272
1,21,2076,39.3798137,-77.4408029
1,21,5297,39.3835628,-77.4300066
1,21,5920,39.3871801,-77.396194
1,21,5749,39.3961113,-77.4700084
1,21,5702,39.4521276,-77.4266399
1,21,6654,39.4525529,-77.4463886
1,21,2424,39.4461141,-77.4725942
1,21,4752,39.5006996,-77.4670894
1,21,3166,39.5407408,-77.4364911
1,21,3023,39.5383021,-77.2206287
1,21,2463,39.457718,-77.3239141
1,21,3782,39.4723055,-77.2091951
1,21,5417,39.4104487,-77.2648269
1,21,3823,39.4201331,-77.1883485
1,21,6005,39.4050409,-77.3398797
1,21,6485,39.3607925,-77.2391448
1,21,4606,39.3781197,-77.3459482
1,21,3755,39.4073122,-77.3038764
1,21,2521,39.4012357,-77.2967749
1,21,4815,39.3816577,-77.1772797
1,21,3661,39.3101667,-77.2805758
1,21,6881,39.33305,-77.2867811
1,21,2399,39.2908367,-77.3971148
1,21,4481,39.3365151,-77.3425194
1,21,3571,39.3436882,-77.3349063
1,21,5889,39.3370294,-77.3635685
1,21,7217,39.3659437,-77.4308471
1,21,4274,39.3037786,-77.4542163
1,21,3606,39.3099211,-77.4977232
1,21,5170,39.3995827,-77.586872
1,21,2362,39.3247563,-77.5454082
1,21,4481,39.4567413,-77.5181143
1,21,2729,39.4106761,-77.5184053
1,21,4057,39.4427461,-77.5105935
1,21,2192,39.581793,-77.5145169
1,21,3654,39.5384807,-77.5802262
1,21,3094,39.642645,-77.4409586
1,21,4527,39.6040079,-77.4043582
1,21,2746,39.633653700000004,-77.3861778
1,21,4288,39.4049463,-77.4251109
1,21,5872,39.6979835,-77.344928
1,21,2792,39.6455539,-77.3204795
1,21,3170,39.5459235,-77.3112605
1,21,3638,39.475432,-77.548239
1,21,1566,39.4123663,-77.383808
1,21,4236,39.4686515,-77.345378
1,21,5722,39.3408448,-77.623296
1,21,3929,39.3128573,-77.6088179
1,21,5172,39.4259707,-77.3351285
1,23,3980,39.6403643,-79.3770543
1,23,3800,39.6530695,-79.1996475
1,23,2486,39.620948,-79.0544096
1,23,2951,39.4334404,-79.1904653
1,23,1426,39.505877,-79.2773019
1,23,2638,39.5076913,-79.3448166
1,23,4165,39.3845356,-79.4322617
1,23,1782,39.4829125,-79.4490359
1,23,5578,39.3127447,-79.4139051
1,27,4606,39.3189773,-76.9676605
1,27,6457,39.3359978,-77.1001861
1,27,4111,39.308443,-77.0521284
1,31,2103,39.3075065,-77.2187401
1,31,5804,39.2710465,-77.2179052
1,31,2433,39.2905405,-77.1777758
1,31,6324,39.2433948,-77.2450077
1,31,3851,39.2214431,-77.2720944
1,31,6673,39.2378679,-77.3037387
1,31,3290,39.2650337,-77.2631573
1,31,2352,39.2138172,-77.3697452
1,31,7196,39.1234371,-77.4397368
1,31,5816,39.1576526,-77.32003
1,43,3513,39.6554853,-77.6999156
1,43,4097,39.6613869,-77.7189917
1,43,3617,39.6562567,-77.7373932
