tract_new,county,pop100,intptlat,intptlon,tract
001000100,001,3370,39.6365143,-78.5094487,000100
001000200,001,4097,39.6123134,-78.7031037,000200
001000500,001,2055,39.6546637,-78.7294891,000500
001000600,001,3081,39.6409546,-78.7398353,000600
001000700,001,3330,39.6329587,-78.7526552,000700
001000800,001,1902,39.6288831,-78.7630037,000800
001001000,001,2126,39.657356,-78.7675027,001000
001001100,001,1431,39.6510064,-78.7722271,001100
001001200,001,2899,39.6560734,-78.787004,001200
001001300,001,4990,39.6281555,-78.8084386,001300
001001401,001,3890,39.6432593,-78.8338076,001401
001001402,001,1439,39.6519192,-78.8099723,001402
001001502,001,1845,39.7081979,-78.8033273,001502
001001503,001,1716,39.7091742,-78.8684222,001503
001001600,001,1618,39.6898438,-78.9301097,001600
001001700,001,4300,39.6632838,-78.8720813,001700
001001800,001,3891,39.6570617,-78.9459687,001800
001001900,001,2514,39.608748,-78.9349249,001900
001002000,001,5370,39.564116,-78.8950854,002000
001002100,001,3055,39.5551974,-78.9860824,002100
001002200,001,3684,39.4980725,-78.9858124,002200
001002300,001,5503,39.6850094,-78.7422979,002300
003701101,003,4369,38.9420308,-76.5686167,701101
003701103,003,3690,38.9352164,-76.5439597,701103
003701104,003,4083,38.9396531,-76.5514014,701104
003701201,003,3864,38.8823379,-76.5051044,701201
003701202,003,4968,38.9133331,-76.5241197,701202
003701301,003,4003,38.9270086,-76.63404,701301
003701302,003,4035,38.8664553,-76.6450598,701302
003701400,003,3503,38.872325,-76.572429,701400
003702100,003,6854,39.0477861,-76.5998868,702100
003702204,003,4465,38.9957146,-76.6908109,702204
003702205,003,5881,39.0084143,-76.6922957,702205
003702206,003,6651,39.0112905,-76.669753,702206
003702208,003,8244,39.0316327,-76.6666917,702208
003702209,003,4400,39.0209496,-76.6838414,702209
003702300,003,5799,38.9721265,-76.6535183,702300
003702402,003,7373,38.9765291,-76.5659981,702402
003702500,003,6850,38.96222,-76.5264133,702500
003702601,003,5689,38.9388829,-76.5066358,702601
003702602,003,5952,38.9295692,-76.4717492,702602
003702702,003,4108,39.0169711,-76.5514142,702702
003702703,003,2503,39.0001524,-76.512991,702703
003702704,003,2618,38.9896868,-76.5374493,702704
003706102,003,2337,38.9766586,-76.4939392,706102
003706103,003,1463,38.9794364,-76.4890898,706103
003706302,003,3354,38.9687794,-76.4822873,706302
003706303,003,2474,38.9547453,-76.485616,706303
003706304,003,2249,38.9541818,-76.4722362,706304
003706402,003,3520,38.9652738,-76.494521,706402
003706403,003,4104,38.964042,-76.5038205,706403
003706404,003,2872,38.9558576,-76.4972929,706404
003706500,003,5511,38.972976,-76.522379,706500
003706600,003,5413,38.988232000000004,-76.5105433,706600
003706700,003,621,38.985208,-76.4878325,706700
003707001,003,6060,38.8202066,-76.5292506,707001
003707002,003,4660,38.7860912,-76.5407083,707002
003708001,003,3792,38.7483483,-76.5739064,708001
003708004,003,6203,38.8010585,-76.6451073,708004
003730101,003,2311,39.1557034,-76.5598068,730101
003730102,003,12283,39.1801207,-76.5569878,730102
003730204,003,7019,39.1441049,-76.5779693,730204
003730205,003,2345,39.1384252,-76.5940617,730205
003730206,003,3398,39.1522873,-76.5929712,730206
003730300,003,3309,39.1537232,-76.6069748,730300
003730401,003,5469,39.1542757,-76.6314101,730401
003730403,003,4085,39.1460527,-76.6250808,730403
003730404,003,2421,39.1434626,-76.6110432,730404
003730507,003,4274,39.1294004,-76.6049714,730507
003730508,003,2549,39.1358095,-76.6207338,730508
003730509,003,5076,39.1172646,-76.6126917,730509
003730510,003,3554,39.1217611,-76.6231698,730510
