alpha,beta,gamma,pop_dif
21.4,0.9,0,0.540613414586777
21.4,0.9,0.1,0.09830572462663552
21.4,0.9,0.2,0.32812368342296955
21.4,0.9,0.30000000000000004,0.3756593921542375
21.4,0.9,0.4,0.20783961541120727
21.4,0.9,0.5,0.22160922036067748
21.4,0.9,0.6000000000000001,0.351839093886734
21.4,0.9,0.7000000000000001,0.7674787038136412
21.4,0.9,0.8,0.4970994781020396
21.4,0.9,0.9,0.2010972034410889
21.4,0.9,1,0.6145466423964738
21.4,0.9,1.1,0.5669720978564448
21.4,0.9,1.2000000000000002,0.24498310256562542
21.4,0.9,1.3,0.2706216779561485
21.4,0.9,1.4000000000000001,0.5851488568628396
21.4,0.9,1.5,0.6116024356475789
21.4,0.9,1.6,0.22913225210129948
21.4,0.9,1.7000000000000002,0.7647711585238891
21.4,0.9,1.8,0.8093472132113037
21.4,0.9,1.9000000000000001,0.627325079848445
21.4,0.9,2,0.8264975426767017
21.4,0.9,2.1,0.7268145375192228
21.4,0.9,2.2,0.5875371186393107
21.4,0.9,2.3000000000000003,0.560752921812773
21.4,0.9,2.4000000000000004,0.4960245318146972
21.4,0.9,2.5,0.4927532411038537
21.5,0.9,0,0.21830031436727426
21.5,0.9,0.1,0.29970332146762424
21.5,0.9,0.2,0.21369180537339472
21.5,0.9,0.30000000000000004,0.790482879392363
21.5,0.9,0.4,0.3460392481009126
21.5,0.9,0.5,0.4042069041072272
21.5,0.9,0.6000000000000001,0.23166550350697251
21.5,0.9,0.7000000000000001,0.8574123804119576
21.5,0.9,0.8,0.43230515729083985
21.5,0.9,0.9,0.3355053579435208
21.5,0.9,1,0.5783469902539085
21.5,0.9,1.1,0.27673504756976
21.5,0.9,1.2000000000000002,0.442825507781854
21.5,0.9,1.3,0.47309829257224767
21.5,0.9,1.4000000000000001,0.6977616512361863
21.5,0.9,1.5,0.73844360661617
21.5,0.9,1.6,0.39029730562970055
21.5,0.9,1.7000000000000002,0.5501844019963521
21.5,0.9,1.8,0.6360027710501388
21.5,0.9,1.9000000000000001,0.26131871875240165
21.5,0.9,2,0.3861078429383803
21.5,0.9,2.1,0.7603350621983945
21.5,0.9,2.2,0.5824392819320032
21.5,0.9,2.3000000000000003,0.572811761525268
21.5,0.9,2.4000000000000004,0.8727293576597401
21.5,0.9,2.5,0.4282658642133162
21.599999999999998,0.9,0,0.1902656767825096
21.599999999999998,0.9,0.1,0.4087877805621692
21.599999999999998,0.9,0.2,0.5577515931009068
21.599999999999998,0.9,0.30000000000000004,0.2984208412679906
21.599999999999998,0.9,0.4,0.222935916638069
21.599999999999998,0.9,0.5,0.5796097263001134
21.599999999999998,0.9,0.6000000000000001,0.28616412984753736
21.599999999999998,0.9,0.7000000000000001,0.26192987211581026
21.599999999999998,0.9,0.8,0.5588277789289174
21.599999999999998,0.9,0.9,0.5915602268200622
21.599999999999998,0.9,1,0.22971903316367287
21.599999999999998,0.9,1.1,0.6912586142791675
21.599999999999998,0.9,1.2000000000000002,0.5647638439327474
21.599999999999998,0.9,1.3,0.2741347389335665
21.599999999999998,0.9,1.4000000000000001,0.44801499006821366
21.599999999999998,0.9,1.5,0.5957803959894307
21.599999999999998,0.9,1.6,0.31405500063662417
21.599999999999998,0.9,1.7000000000000002,0.6323791991438082
21.599999999999998,0.9,1.8,0.6999758395747765
21.599999999999998,0.9,1.9000000000000001,0.4625276793678726
21.599999999999998,0.9,2,0.8484309537980371
21.599999999999998,0.9,2.1,0.23691388724376472
21.599999999999998,0.9,2.2,0.17507518122118518
21.599999999999998,0.9,2.3000000000000003,0.41050696939329245
21.599999999999998,0.9,2.4000000000000004,0.4846199982863508
21.599999999999998,0.9,2.5,0.3668221541100318
21.7,0.9,0,0.5120277458814707
21.7,0.9,0.1,0.2915414972315172
21.7,0.9,0.2,0.225501822095782
