district,county,population,lat,long
1,81,1626,36.0931506,-79.7611076
1,81,4659,36.1062439,-79.7761396
1,81,2633,36.0948011,-79.7752143
1,81,1484,36.0896695,-79.8048832
1,81,1634,36.1048626,-79.8152179
1,81,2533,36.1011893,-79.7995353
1,81,2102,36.0820551,-79.8193859
1,81,2857,36.067725,-79.8389812
1,81,6114,36.0682088,-79.8230971
1,81,2036,36.0772082,-79.8041505
1,81,6928,36.0690352,-79.8063793
1,81,2946,36.0777887,-79.7920619
1,81,2387,36.0823022,-79.7815192
1,81,5224,36.07788,-79.7691959
1,81,4194,36.069281,-79.7555793
1,81,2753,36.0534918,-79.7574125
1,81,3378,36.0676574,-79.7757936
1,81,2818,36.0607543,-79.7767022
1,81,2956,36.049721,-79.7823577
1,81,5547,36.0540185,-79.7981309
1,81,3866,36.056768,-79.8093069
1,81,2578,36.0535511,-79.823434
1,81,3140,36.0528836,-79.843589
1,81,5263,36.1324986,-79.773038
1,81,4781,36.1329176,-79.7548017
1,81,4361,36.1137261,-79.8133306
1,81,3645,36.0744839,-79.8595757
1,81,4410,36.0862135,-79.8560549
1,81,3411,36.1024266,-79.8269283
1,81,2325,36.0971345,-79.8383895
1,81,3262,36.1196164,-79.8556627
1,81,5059,36.0981757,-79.8565073
1,81,4778,36.0416929,-79.814319
1,81,2698,36.0434419,-79.883235
1,81,2504,36.0428788,-79.8536192
1,81,3219,36.0333762,-79.8324917
1,81,3855,36.0256423,-79.8223043
1,81,6304,36.0163122,-79.8168078
1,81,3475,36.0413646,-79.8685975
1,81,3479,36.0580785,-79.8630369
1,81,3446,36.0670431,-79.8733001
1,81,3806,36.0314872,-79.8484253
1,81,3914,36.0238107,-79.8617529
1,81,5505,36.1211255,-79.7937567
1,81,3654,36.1189867,-79.7666195
1,81,4168,36.1023725,-79.7471017
1,81,3399,36.0934091,-79.7417388
1,81,2677,36.0814312,-79.746533
1,81,9306,36.0723607,-79.7184436
1,81,4299,36.0238569,-79.790368
1,81,2817,36.0345075,-79.7680745
1,81,4668,35.9749396,-79.9934269
1,81,4111,35.9767856,-80.0094987
1,81,4123,35.96786,-80.0257281
1,81,3977,35.9687471,-79.9903354
1,81,4425,35.9590203,-79.9872123
1,81,3197,35.9486397,-80.0243309
1,81,4043,35.9464228,-79.9892409
1,81,2943,35.9411049,-80.0105656
1,81,2511,35.980962,-79.9628057
1,81,6129,35.9780686,-80.0382873
1,81,2427,35.9338427,-80.0423234
1,81,3038,36.0018883,-80.0206346
1,81,3974,35.9942197,-80.0047969
1,81,5480,35.9877921,-79.9898959
1,81,2823,35.9948446,-79.9714595
1,81,1225,35.9297773,-80.0020003
1,81,4692,35.9356134,-79.9650597
1,81,3435,35.9598744,-79.9634463
1,81,5594,36.2150623,-79.6136675
1,81,5363,36.135389,-79.5689372
1,81,6477,36.0791797,-79.5723452
1,81,5506,36.103609,-79.62691
1,81,4621,36.0710568,-79.6665816
1,81,5446,36.1681144,-79.6554479
1,81,7760,36.1239582,-79.7036686
1,81,7211,36.1685304,-79.7472083
1,81,5439,36.2187975,-79.8192149
1,81,6245,36.2190976,-79.7413592
1,81,6590,36.1312654,-79.8107234
1,81,6347,36.1657187,-79.8536038
1,81,2966,36.1290904,-79.8416502
1,81,6193,36.1612028,-79.7995088
1,81,6473,36.1467634,-79.8253017
1,81,8668,36.2020433,-79.8980982
1,81,6175,36.2337111,-79.9645667
1,81,4615,36.1852245,-80.0030013
1,81,4902,36.1563065,-79.9489202
1,81,1837,36.160276,-79.891504
1,81,4211,36.1340395,-79.8803102
1,81,5059,36.1219823,-79.8746685
1,81,7620,36.1341881,-79.936705
1,81,3888,36.1319663,-79.9026581
1,81,2698,36.1080983,-79.8990006
1,81,5733,36.0813977,-79.9261188
1,81,4684,36.1005022,-79.8871073
1,81,3788,36.0827471,-79.8995787
1,81,5299,36.0787129,-79.8800506
1,81,6753,36.1294248,-79.9938054
1,81,5221,36.0688847,-80.0311459
1,81,4557,36.0653798,-79.9824065
1,81,4650,36.0449231,-79.9758343
1,81,3380,36.0222544,-80.0259832
1,81,3688,36.0201771,-80.0034769
1,81,3484,36.024914,-79.9796032
1,81,5452,36.0121411,-79.9706511
1,81,1770,36.0626636,-79.9334929
1,81,4228,36.049501,-79.9501594
1,81,4496,36.0307798,-79.9458424
1,81,1972,36.0224838,-79.9324417
1,81,2496,36.0051315,-79.9367159
1,81,5450,35.9749053,-79.938687
1,81,6553,36.0019267,-79.8875909
1,81,5480,36.0503378,-79.9040126
1,81,5239,36.0282258,-79.9146286
1,81,4845,36.0248915,-79.9008872
1,81,2452,35.9467019,-79.918624
1,81,6046,35.9850667,-79.8425974
1,81,3754,35.9413974,-79.8496292
1,81,7802,35.985327,-79.7711517
1,81,4697,35.9409969,-79.7548197
1,81,4675,35.9508347,-79.6157216
1,81,5582,35.9863801,-79.7000063
1,81,2366,36.0063136,-79.739965
1,81,9369,36.0327205,-79.6124744
