tract_new,county,pop100,intptlat,intptlon,tract
001020100,001,4040,36.0914774,-79.4455986,020100
001020200,001,4137,36.0919103,-79.4195398,020200
001020301,001,4213,36.1065434,-79.4055744,020301
001020302,001,3974,36.09477,-79.3911836,020302
001020400,001,6556,36.1207861,-79.4322349,020400
001020501,001,3965,36.1220609,-79.4795203,020501
001020502,001,4299,36.1143709,-79.4515972,020502
001020601,001,3170,36.0922417,-79.4903921,020601
001020602,001,2509,36.095804,-79.4621793,020602
001020701,001,5018,36.0698004,-79.4810886,020701
001020702,001,5063,36.0624647,-79.4583524,020702
001020801,001,1930,36.0490131,-79.4493095,020801
001020802,001,6175,36.0791566,-79.4275785,020802
001020901,001,3871,36.0567365,-79.4179557,020901
001020902,001,3887,36.029254,-79.4128455,020902
001021000,001,4091,36.076978,-79.3985062,021000
001021101,001,3984,36.0697173,-79.3749221,021101
001021102,001,3587,36.0377304,-79.3746745,021102
001021201,001,6305,36.1058538,-79.3538343,021201
001021204,001,5217,36.0441127,-79.3189482,021204
001021205,001,7963,36.0716991,-79.2842623,021205
001021206,001,5382,36.0854714,-79.3059217,021206
001021207,001,3498,36.1053504,-79.2949549,021207
001021300,001,6178,36.1804423,-79.3130101,021300
001021400,001,2668,36.200065,-79.4059533,021400
001021500,001,4576,36.1916726,-79.4828826,021500
001021600,001,8913,36.1447926,-79.520266,021600
001021701,001,3479,36.0927095,-79.5291655,021701
001021702,001,5897,36.0930886,-79.5083273,021702
001021703,001,7974,36.0544094,-79.5184486,021703
001021801,001,4706,35.9869584,-79.4822243,021801
001021802,001,3618,35.9388738,-79.4437298,021802
001021803,001,3042,35.8777839,-79.4773039,021803
001021901,001,4630,35.9861226,-79.3694459,021901
001021902,001,4424,35.892058,-79.3325996,021902
001022001,001,3759,35.9970765,-79.3342675,022001
001022002,001,4717,35.976536,-79.2885164,022002
003040100,003,3248,35.9786489,-81.0654227,040100
003040200,003,3877,35.9824254,-81.2466687,040200
003040300,003,3090,35.8935399,-81.2619487,040300
003040400,003,6503,35.9190953,-81.1748648,040400
003040500,003,6560,35.864873,-81.0966473,040500
003040600,003,6320,35.8589717,-81.1904395,040600
003040700,003,6846,35.8302549,-81.3009365,040700
005950100,005,4058,36.4788732,-81.0089677,950100
005950200,005,3762,36.5270151,-81.1372473,950200
005950300,005,3068,36.4954342,-81.232151,950300
007920100,007,2783,34.9873922,-79.9330024,920100
007920200,007,1411,35.0996781,-80.1049893,920200
007920301,007,4504,35.0739512,-80.2378646,920301
007920302,007,649,34.9495049,-80.2147609,920302
007920400,007,2475,35.0150268,-80.0839315,920400
007920501,007,944,34.9395656,-80.1461397,920501
007920502,007,4442,34.9419407,-80.0568714,920502
007920600,007,3481,34.8573699,-80.1191723,920600
007980000,007,1366,34.9899785,-80.1826933,980000
009970200,009,2497,36.5290589,-81.5408788,970200
009970300,009,2390,36.4748945,-81.6702586,970300
009970400,009,4360,36.4436205,-81.5603804,970400
009970501,009,3511,36.4017373,-81.4475225,970501
009970502,009,3007,36.4493645,-81.4706194,970502
009970701,009,3356,36.3392756,-81.561917,970701
009970702,009,2527,36.2998512,-81.4597506,970702
009970801,009,2146,36.3988389,-81.3489861,970801
009970802,009,2783,36.5088535,-81.4012665,970802
011930100,011,3057,36.2037801,-81.9101337,930100
