alpha,beta,gamma,pop_dif
15.1,0.9,0,0.07111433622248393
15.1,0.9,0.1,0.4876435457574254
15.1,0.9,0.2,0.3404869024440099
15.1,0.9,0.30000000000000004,0.16540996889543166
15.1,0.9,0.4,0.7097439920454288
15.1,0.9,0.5,0.3035854637112186
15.1,0.9,0.6000000000000001,0.8707103984600183
15.1,0.9,0.7000000000000001,0.6636989610439308
15.1,0.9,0.8,0.7758732938079194
15.1,0.9,0.9,0.7273755449530741
15.1,0.9,1,0.882494186634314
15.1,0.9,1.1,0.8388731716269392
15.1,0.9,1.2000000000000002,0.7504309166194653
15.1,0.9,1.3,0.552332638844826
15.1,0.9,1.4000000000000001,0.7175265979490419
15.1,0.9,1.5,0.5538742025877765
15.1,0.9,1.6,0.8111450941719844
15.1,0.9,1.7000000000000002,0.4867333207394917
15.1,0.9,1.8,0.7796132266951079
15.1,0.9,1.9000000000000001,0.5849489909645268
15.1,0.9,2,0.8010205284560412
15.1,0.9,2.1,0.4104835217032929
15.1,0.9,2.2,0.2811432940449948
15.1,0.9,2.3000000000000003,0.6847264824020105
15.1,0.9,2.4000000000000004,0.5254948465833802
15.1,0.9,2.5,0.6392449773474367
15.2,0.9,0,0.24818628858335726
15.2,0.9,0.1,0.8176823641525043
15.2,0.9,0.2,0.3732913896236982
15.2,0.9,0.30000000000000004,0.5184742739452539
15.2,0.9,0.4,0.8414595819191626
15.2,0.9,0.5,0.22591323263831883
15.2,0.9,0.6000000000000001,0.404772658603214
15.2,0.9,0.7000000000000001,0.4174501964050107
15.2,0.9,0.8,0.5051700844068114
15.2,0.9,0.9,0.8815553395643689
15.2,0.9,1,0.8379339188624007
15.2,0.9,1.1,0.7085160908174155
15.2,0.9,1.2000000000000002,0.6056023269582691
15.2,0.9,1.3,0.9160118749376929
15.2,0.9,1.4000000000000001,0.9019950506416308
15.2,0.9,1.5,0.5829832452517217
15.2,0.9,1.6,0.8243895999396514
15.2,0.9,1.7000000000000002,0.5223716374419657
15.2,0.9,1.8,0.4456910914533138
15.2,0.9,1.9000000000000001,0.8611373735755096
15.2,0.9,2,0.7829588028765117
15.2,0.9,2.1,0.7511146848595271
15.2,0.9,2.2,0.5875336789966251
15.2,0.9,2.3000000000000003,0.7475139692399625
15.2,0.9,2.4000000000000004,0.7269865516084739
15.2,0.9,2.5,0.23784604822082567
