county,block,pop,lat,long
001,1000,2612,-79.42091583697479,36.036275681323254
003,1000,489,-81.15657352242398,35.938014683409364
005,1000,81,-81.05168428038354,36.5597250330771
007,1000,1714,-80.2033654690956,35.113055565456506
009,1000,695,-81.46383606969455,36.437878910268715
011,1000,281,-81.98264112550979,36.14085356398028
013,1000,112,-77.02239807412985,35.553721213051816
015,1000,10,-76.85305558766976,36.03077305613063
017,1000,123,-78.60213343412856,34.70504686788492
019,1000,3510,-78.37782440596506,34.06330826223626
021,1000,8831,-82.53685649480718,35.6375454108728
023,1000,1146,-81.79655471183592,35.88848000069724
025,1000,2966,-80.58942235778852,35.398014497325875
027,1000,690,-81.48532139056567,35.88472062040974
029,1000,86,-76.15884921960695,36.40087750086091
031,1000,869,-76.97794937409294,34.751008979247295
033,1000,201,-79.3544514856984,36.44468529502511
035,1000,2775,-81.19715462129025,35.66704622219859
037,1000,1152,-79.31528996636153,35.79101009977111
039,1000,893,-83.97233137069287,35.17376819788615
041,1000,137,-76.58878030716073,36.19939365738603
043,1000,259,-83.76548582831037,35.117229979043714
045,1000,1321,-81.52977583943321,35.330362461016115
047,1000,282,-78.7443412989112,34.30007278337941
049,1000,1417,-77.04726559817823,35.192698376367616
051,1000,7032,-78.82869917666594,35.10810754795195
053,1000,1479,-76.0305371142367,36.428003605324164
055,1000,151,-75.71914311165722,36.109335285063445
057,1000,4836,-80.27008842024394,35.88239096826557
059,1000,1285,-80.50524489945441,35.912620382761276
061,1000,855,-77.89527428915486,34.97255553486369
063,1000,9802,-78.90732680906983,36.025058406490714
065,1000,1274,-77.64435589144577,36.01328703355886
067,1000,10048,-80.25804866660509,36.134715138944586
069,1000,1690,-78.31729559620437,36.10810908547588
071,1000,9723,-81.16421885356952,35.295472727163705
073,1000,253,-76.59193630828068,36.53448834799091
075,1000,273,-83.7643754723304,35.35207198870297
077,1000,1026,-78.67039409707641,36.16417794404386
079,1000,200,-77.67494629874976,35.538314842487054
081,1000,10831,-79.83964143337893,36.15076485713911
083,1000,356,-77.6051151198257,36.281473042703965
085,1000,4754,-79.0088816560604,35.32711495235391
087,1000,1530,-82.89301160805282,35.5673451867759
089,1000,1883,-82.40000619263498,35.351107893879075
091,1000,1364,-76.97937336365953,36.32797383534048
093,1000,678,-79.16125097981461,35.00309389521995
097,1000,3533,-80.90813117303193,35.7582638779609
099,1000,454,-83.07774529815008,35.36408775554347
101,1000,11980,-78.40632787954537,35.558995804337144
103,1000,262,-77.28691884098424,35.103835410513774
105,1000,2431,-79.18525978425988,35.44496417111586
107,1000,1403,-77.64845935731013,35.27491079465107
109,1000,1697,-81.18927172366598,35.51412645904474
111,1000,4,-81.94321508211607,35.959252886991116
113,1000,722,-83.31370891129605,35.24125717576771
115,1000,998,-82.62214125729278,35.87343304175308
117,1000,150,-76.95900973275283,35.89033041437824
119,1000,68242,-80.80379539523827,35.22471899368515
121,1000,566,-82.09421658975562,36.01933851243452
123,1000,184,-79.96340220923324,35.41546991952071
125,1000,1315,-79.36003200573968,35.29539992238643
127,1000,571,-77.92830320550809,36.03543530034311
129,1000,5462,-77.8856191498395,34.22629543374975
131,1000,232,-77.24654317592099,36.47158936225984
133,1000,6573,-77.50044174525657,34.84868770441989
135,1000,8379,-79.09963628291655,36.04274216254959
137,1000,281,-76.77212062115788,35.05434074031433
139,1000,688,-76.38515363078282,36.39412754571779
141,1000,1484,-77.79723132165435,34.47213069142662
143,1000,785,-76.38304859363251,36.19160994244727
145,1000,371,-78.83260865196797,36.39333980320397
147,1000,6676,-77.37468266567679,35.594937021051074
149,1000,211,-82.11534639264686,35.241384404419904
151,1000,2450,-79.73813382206632,35.81316314922725
153,1000,540,-79.66545267814291,34.95642724453545
155,1000,1642,-79.04569181482141,34.691686805066304
157,1000,1366,-79.81236440927836,36.47219714813954
159,1000,2033,-80.54132811505805,35.67013939619164
161,1000,1313,-81.80560024493195,35.50776810309605
163,1000,957,-78.3112350377571,34.92665662144035
165,1000,166,-79.55392525841613,34.84561157110268
167,1000,1090,-80.28622074598766,35.32195281086343
169,1000,374,-80.21152238217115,36.36370225982523
171,1000,861,-80.77431327138451,36.430845460547715
173,1000,50,-83.2632596534357,35.582516689673604
175,1000,345,-82.85581702644602,35.19480414042115
179,1000,4708,-80.55485500239023,35.033917755495075
181,1000,601,-78.36368146314291,36.414068073768014
183,1000,43160,-78.60478301217906,35.78969514252944
185,1000,104,-77.95778726710212,36.40883971476849
187,1000,25,-76.36858961556139,35.85622069044535
189,1000,439,-81.68722386679399,36.29976362419056
191,1000,1539,-77.91690136236035,35.41453925230786
193,1000,714,-81.10026615967197,36.364301643968254
195,1000,1083,-77.91812807637994,35.7511587093284
197,1000,345,-80.64906682693443,36.160446001575394
199,1000,589,-82.2963973386538,35.950214011895746
001,1001,3076,-79.39357772243264,36.07101246930503
003,1001,135,-81.18298425205937,35.95643426144236
005,1001,58,-81.13080261426455,36.54882958538789
007,1001,34,-79.9763868803872,35.09199603360135
009,1001,280,-81.54922660012454,36.43350607078068
011,1001,13,-81.92006380623741,36.17423404252099
013,1001,314,-76.90158717964411,35.58003996193534
015,1001,93,-77.10251798847361,36.178091658158394
017,1001,83,-78.49926692607465,34.5529717674357
019,1001,1347,-78.16576615830625,34.25721932830552
021,1001,3782,-82.44139843100616,35.66091094263658
023,1001,1268,-81.62862269787543,35.69372604582718
025,1001,5235,-80.59881932891012,35.38269285777513
027,1001,892,-81.60240568949884,35.96634056463627
029,1001,75,-76.36022507856711,36.54498012037735
031,1001,903,-76.70100038726913,34.812335564543396
033,1001,488,-79.3821339289229,36.48475333514322
035,1001,1684,-81.18563554692462,35.72047458565993
037,1001,899,-79.25899032829011,35.73261969824524
039,1001,371,-83.7519369548411,35.20420705086444
041,1001,463,-76.5985659192402,36.22154678806965
043,1001,52,-83.87712548835307,35.052996061796534
045,1001,1572,-81.54379485862093,35.299032176125046
047,1001,163,-78.70960500157274,34.25642146708125
049,1001,1296,-77.17570880152901,35.20911060320757
051,1001,6426,-78.82494785434737,35.019030787862874
053,1001,661,-75.97510098446281,36.38284500110147
055,1001,752,-75.6623811967765,35.90262636691236
057,1001,2456,-80.18829555609094,35.81941712849063
059,1001,440,-80.45963232957466,35.962538916522625
061,1001,408,-77.99712285283667,34.95546132165121
063,1001,6179,-78.92085281419699,36.032740400275785
065,1001,530,-77.58607283720454,35.92919231818329
067,1001,9875,-80.27573043393123,36.121072239982915
069,1001,1014,-78.36833684796804,36.051422882587076
071,1001,7845,-81.15838877788467,35.28742931719611
073,1001,264,-76.72130653991523,36.54356815154731
075,1001,15,-83.75324518190972,35.347718618055545
077,1001,933,-78.62720903811613,36.254394666148315
079,1001,75,-77.70267420375546,35.562675215139535
081,1001,9441,-79.80777265131468,36.04753285160763
083,1001,878,-77.52568121956163,36.24642350127183
085,1001,1913,-78.83018340929074,35.458872044661334
087,1001,644,-83.0441896909871,35.51557777889834
089,1001,1735,-82.49944165394378,35.316421629654876
091,1001,203,-76.99410223270456,36.39157851921656
093,1001,1252,-79.13280121941955,35.00996671669291
097,1001,2786,-80.90623538593677,35.89224495188656
099,1001,195,-83.0826733648195,35.25465876561714
101,1001,5474,-78.40757537057668,35.56738634177088
103,1001,14,-77.38233400585638,35.15428141398886
105,1001,307,-79.16382937509509,35.499167651262866
107,1001,660,-77.62541581064282,35.2868816879719
109,1001,2174,-81.18242403502768,35.501365056558605
111,1001,772,-82.20061269282662,35.6811443661189
113,1001,71,-83.37397419241006,35.22734665931486
115,1001,44,-82.55506785093439,35.876351363818316
117,1001,192,-77.1474848603966,35.925071479957495
119,1001,45759,-80.802070980591,35.234089768016744
121,1001,144,-82.20358516971578,36.13588242494255
123,1001,323,-79.79582747370947,35.34223240339255
125,1001,1525,-79.40586445273996,35.286403437443525
127,1001,737,-77.87336703047376,36.03395055183155
129,1001,4508,-77.87681442149946,34.19408434828905
131,1001,402,-77.31818513315498,36.45953548966803
133,1001,4686,-77.34803992023,34.80094738367693
135,1001,5035,-79.1170074258201,36.078278619085474
137,1001,84,-76.85376266186013,35.10420193273391
139,1001,911,-76.268107944343825,36.31379944839169
141,1001,1602,-77.72503359379466,34.48854834072397
143,1001,54,-76.4518321556218,36.1946215301463
145,1001,213,-78.93195046170368,36.454533764272284
147,1001,3417,-77.2984240371863,35.54874504433633
149,1001,362,-82.08606425505612,35.28480342126895
151,1001,1351,-79.84729011099422,35.800834833613976
153,1001,286,-79.67374036950066,34.968059322636165
155,1001,1191,-79.10106469382063,34.69864144360236
157,1001,955,-79.66121748366635,36.448362537841106
159,1001,1857,-80.48948534121375,35.667851630847295
161,1001,1033,-82.11924782203023,35.47016021864346
163,1001,806,-78.40691681357991,35.0533192718247
165,1001,464,-79.52846536897466,34.81175100714509
167,1001,399,-80.29483179259908,35.32061499310261
169,1001,340,-80.31544128611014,36.454135804310646
171,1001,1150,-80.62254377791693,36.41618219692631
173,1001,50,-83.49733648720621,35.445769680931264
175,1001,87,-82.77668437264384,35.121688094234514
177,1001,78,-76.07588995374671,35.94851162336413
179,1001,4502,-80.62286278226063,34.95265686289718
181,1001,995,-78.35488209812681,36.448185680202386
183,1001,25152,-78.61156921028793,35.82701424243362
185,1001,87,-78.18870003784379,36.39059948222987
187,1001,182,-76.4140982602527,35.958867927931465
189,1001,716,-81.73678945467857,36.19666040727052
191,1001,882,-78.00571862597248,35.40148803480076
193,1001,890,-81.22067754863095,36.305635488539785
195,1001,713,-77.92863090560067,35.73240432207725
197,1001,401,-80.5751690225923,36.219424819211305
199,1001,106,-82.22220124162902,35.99994198827756
001,1002,1605,-79.40366534477144,36.11199505214428
003,1002,359,-81.24878380500982,35.896188215925974
005,1002,31,-81.16295048355042,36.53566296670241
007,1002,39,-80.17161765904619,35.13607953782303
009,1002,126,-81.46252643884604,36.473929660035196
011,1002,26,-81.91849269752989,36.168951797903645
013,1002,205,-76.93743257457214,35.56240360684345
015,1002,25,-76.95711374964264,36.10774498140543
017,1002,490,-78.43278588916037,34.54428130659419
019,1002,1093,-78.46124030393099,34.03696024336614
021,1002,6381,-82.51054350776795,35.61247232787556
023,1002,792,-81.71712797338787,35.77071865018558
025,1002,2500,-80.59571253368553,35.409712566152145
027,1002,886,-81.51226227980135,35.87906263803147
029,1002,100,-76.11816884602267,36.343968484993226
031,1002,1714,-76.89595628008726,34.80027723250228
033,1002,262,-79.40309890462194,36.45167802502013
035,1002,1548,-81.15663798397176,35.74606867807934
037,1002,374,-79.20984472791059,35.6595525493154
039,1002,279,-84.17044842908336,35.059731643351974
041,1002,138,-76.60838185362633,36.21607615036138
043,1002,4,-83.74491239103372,35.04733840432896
045,1002,1174,-81.51543378144702,35.39140195917819
047,1002,397,-78.67602092566192,34.30049131366773
049,1002,3650,-76.95573340984122,35.07646672743524
051,1002,7783,-78.82986985236342,35.087156457089755
053,1002,468,-75.98128196194263,36.45473130321995
055,1002,721,-75.72861701014989,36.05494555773322
057,1002,1981,-80.22413798085208,35.854522738080256
059,1002,656,-80.54015552011268,35.97847891374501
061,1002,350,-77.96633494999172,34.97079282615473
063,1002,9403,-78.9210764741595,36.02399413987369
065,1002,300,-77.59800645743944,35.98130333516832
067,1002,9523,-80.20209233124858,36.11280781038873
069,1002,690,-78.34394475135596,36.10348444875331
071,1002,4259,-81.19340926867274,35.29064350269498
073,1002,118,-76.76676400391389,36.543640041176495
077,1002,556,-78.64635237567792,36.21377380260357
079,1002,130,-77.67208795595309,35.59447551110444
081,1002,9591,-79.84238738525873,36.06575980339746
083,1002,499,-77.68891527578083,36.32913357762243
085,1002,2262,-78.93274526181798,35.421036547068034
087,1002,999,-82.92094362470563,35.553416198718644
089,1002,1199,-82.37838200161978,35.41885797894997
091,1002,67,-77.07160473680936,36.35827449119038
093,1002,998,-79.35962028364943,35.02628014727573
097,1002,2660,-80.8794861298275,35.74840283015648
099,1002,539,-83.17139930897108,35.34209173024771
101,1002,7639,-78.40868077382807,35.543144936817974
103,1002,76,-77.38456608685709,35.16202044939136
105,1002,762,-79.15706106397872,35.57930129209193
107,1002,490,-77.5977375967134,35.31045701512122
109,1002,1139,-81.2024270290461,35.48874372801257
111,1002,177,-81.98626791948118,35.71490190705238
113,1002,51,-83.26050842342543,35.20512443846027
115,1002,113,-82.70011140681532,35.891217953631894
117,1002,210,-77.18016264303446,35.885759420265295
119,1002,36675,-80.82569674211427,35.254705461501025
121,1002,52,-82.10517719692602,35.98882484486983
123,1002,132,-79.89602424434052,35.35262335338913
125,1002,1347,-79.44122279444872,35.356457950759896
127,1002,2166,-77.92571979797843,36.03203343743071
129,1002,4449,-77.87381280036294,34.195686508419946
131,1002,366,-77.40385850608203,36.43550619131231
133,1002,4408,-77.5024505785046,34.80683949127004
135,1002,6819,-79.1272746032264,36.05713418662296
137,1002,102,-76.80391410392768,35.06895083332536
139,1002,616,-76.29481464784986,36.2810068246528
141,1002,288,-78.04674026609312,34.59667255454641
143,1002,133,-76.48286796290118,36.27649977593563
145,1002,441,-78.94888679181248,36.44400645421369
147,1002,2007,-77.25771947720101,35.575471867009355
149,1002,250,-82.12958166812066,35.31206301879922
151,1002,1186,-79.75415273495108,35.806767791204734
153,1002,84,-79.67054053690434,35.001719040340106
155,1002,2488,-79.19923696085543,34.70756631226259
157,1002,1192,-79.75034712486558,36.38164232619968
159,1002,2456,-80.51571799982294,35.69042816897557
161,1002,823,-81.94624090720396,35.39564069008024
163,1002,1098,-78.38972260622734,35.022984933659366
165,1002,238,-79.49460207762758,34.78045392714113
167,1002,367,-80.26872285332549,35.30982513658555
169,1002,1224,-80.26353230794471,36.39755729826654
171,1002,1129,-80.57607891613385,36.46427430412506
173,1002,190,-83.26012145990587,35.56872364608744
175,1002,151,-82.93748016582256,35.16775928532958
177,1002,4,-76.14099432075783,35.979240245251646
179,1002,3127,-80.50749505336232,35.014803047822774
181,1002,558,-78.4097154070809,36.40668872613122
183,1002,24749,-78.65566501346002,35.7907668845545
185,1002,552,-78.05596193274688,36.41790299694307
187,1002,94,-76.41928887464951,35.87243286667438
189,1002,852,-81.6316636898496,36.26152274531482
191,1002,1251,-77.95060838669606,35.44934437183232
193,1002,917,-81.1836802812898,36.181383728212204
195,1002,1979,-77.86743429984469,35.72429621091389
