tract,county,pop,lat,long
000100,021,1563,-82.55362192737725,35.59481143899949
000100,067,3239,-80.24646121365694,36.09802757809816
000100,195,2902,-77.91486922824232,35.730819924906314
000101,063,3282,-78.88490340893752,36.02539021587325
000101,119,1182,-80.84555495666898,35.22207465927112
000101,147,2265,-77.36842329981036,35.61134461902245
000102,063,4430,-78.9023084499307,36.02923870817286
000102,119,2749,-80.84834651144168,35.22650019493724
000102,147,1982,-77.37622203678534,35.598459917559374
000102,191,6602,-78.010818205637,35.46228333078871
000103,119,2000,-80.84466292277814,35.231631063721075
000103,133,6398,-77.26026312880545,34.824129477477285
000103,191,2353,-78.02852737471468,35.55409132934351
000104,119,1876,-80.84046892999153,35.22944385010482
000104,133,2968,-77.18028830255935,34.73724161698862
000104,191,5003,-78.06087046985259,35.49155051007217
000105,133,6990,-77.15091297323382,34.70271562800173
000200,021,1902,-82.56497506147232,35.59783025291674
000200,051,2041,-78.87430689268449,35.0376547752348
000200,063,2893,-78.88635106804777,36.00879467706125
000200,067,1303,-80.24819558445705,36.1058377669735
000200,191,3110,-77.8899533411225,35.541591205652466
000200,195,1080,-77.91628429092124,35.71807363466683
000201,147,4185,-77.34563271353818,35.608663040609066
000202,147,2556,-77.34604123954814,35.5973186467969
000203,133,4668,-77.52144382946497,34.91631447150234
000204,133,4466,-77.56249640252365,34.83670040811078
000205,133,7191,-77.51101067699065,34.81763667511446
000206,133,4000,-77.61832837088265,34.87872778667578
000207,133,4065,-77.59923848537576,34.9328104637379
000300,021,2183,-82.56945788497127,35.60570261492342
000300,195,2200,-77.9261762698879,35.71415126909747
000301,063,2644,-78.91384523425894,36.01656967593503
000301,067,1888,-80.25300915265399,36.1110240844331
000301,119,1239,-80.8369851017782,35.20924816994256
000301,147,3061,-77.35193960194906,35.580552429232036
000302,063,3672,-78.90454824101761,36.01120275350587
000302,067,1832,-80.25578775971448,36.11896633050468
000302,119,1586,-80.84254298398766,35.21459318855414
000302,191,5484,-77.86023126004623,35.385608800961045
000303,133,1955,-77.63199488043439,34.802168201706785
000303,147,2307,-77.32866689371872,35.599104846922664
000303,191,6762,-77.88120037304479,35.4399954142757
000304,133,4222,-77.59887254076645,34.751396352604736
000304,147,5083,-77.33086439673613,35.58379204717753
000304,191,5063,-77.93179188811358,35.48089540870752
000305,133,3151,-77.57892991971758,34.709116510456774
000306,133,6847,-77.56981625447281,34.683688014380266
000400,021,4436,-82.56140149837333,35.61440487584335
000400,067,3232,-80.24269923690184,36.12030887885544
000400,147,5208,-77.36326140882794,35.59770752486728
000401,063,2564,-78.93083002142343,36.02235263420291
000401,119,1886,-80.8525270156591,35.214934613522814
000401,133,9813,-77.51657119188852,34.523755366202295
000401,191,5915,-77.8679398733537,35.296748758689176
000401,195,4574,-77.93852422551691,35.723731457683854
000402,063,2966,-78.92636030980604,36.01191747517552
000402,119,2132,-80.8565877840395,35.217916969251704
000402,191,4160,-77.92889575846384,35.317835118476545
000402,195,3586,-77.95366307469115,35.71757367535388
000403,133,1339,-77.4384941584979,34.487664646501706
000404,133,1430,-77.38646617648054,34.55945411031003
000405,133,7684,-77.40846384101606,34.53829920587713
000500,021,3725,-82.54240761930755,35.62312462735393
000500,051,2096,-78.90142965700586,35.025574831313605
000500,063,4192,-78.92088284829094,35.99642344185611
000500,067,2344,-80.22693914910013,36.11752508517791
000500,133,3349,-77.38303276511417,34.59872051424058
000500,191,2722,-77.96100634426912,35.34786644257301
000501,119,2448,-80.85356641775162,35.230357429146366
000501,147,6457,-77.38268273975503,35.570527397156056
000501,195,3554,-77.93679198204302,35.741712624157685
000502,119,1585,-80.84875167673191,35.23663508767036
000502,195,5045,-77.94802630218078,35.75446704496705
000503,119,1931,-80.8389622602831,35.23358712442219
000503,147,4362,-77.36638858933888,35.569548731494585
000504,147,2228,-77.35933659587263,35.576470838844614
000600,021,1972,-82.5470624880664,35.60428668888837
000600,051,5463,-78.91761107133762,35.03391692742527
000600,063,5507,-78.9338183808162,35.9845710806048
000600,067,1966,-80.22800540415297,36.10812045148245
000600,119,2753,-80.83175839234383,35.22543189656539
000600,133,13330,-77.33885146857257,34.665733608974875
000601,191,4387,-78.01493011295155,35.30617046610615
000601,195,3612,-77.91649274045488,35.745643287637016
000602,147,4868,-77.40733965106236,35.58167478483301
000602,195,3982,-77.91348604089333,35.76673552636393
000603,191,4856,-77.98077514328978,35.25216373082268
000604,147,5088,-77.41739727339427,35.59246835663281
000604,191,3223,-77.90029976536674,35.202018324440196
000605,147,4579,-77.41404073687048,35.6164392220707
000606,147,3838,-77.39589619826663,35.56446035272375
000607,147,8700,-77.42517836775475,35.56156352176976
000700,021,1648,-82.54521155269586,35.5897430369813
000700,063,3701,-78.91489937898106,35.98195510515048
000700,067,1577,-80.22922004423549,36.0986087152077
000700,119,2480,-80.81711275872742,35.23967532127323
000700,133,6025,-77.36247065434915,34.70870123016132
000700,191,2338,-78.04598225344749,35.19911018921367
000701,051,5515,-78.93500301747574,35.05540097021907
000701,147,3675,-77.39094308610314,35.6132112340626
000701,195,2226,-77.86510816593993,35.71669459051912
000702,051,2260,-78.91025363894596,35.049482440492525
000702,147,2728,-77.38809690641494,35.59599826374863
000702,195,2870,-77.87891316695995,35.751866742633865
000800,021,3358,-82.53681889017348,35.581291102731264
000800,051,2588,-78.89642368961255,35.059788530809264
000800,119,2885,-80.81918881811684,35.228589466073196
000800,133,419,-77.33941522213009,34.727802616610745
000800,147,3074,-77.3687240019311,35.63843354949869
000800,191,2382,-78.10839514444429,35.19638759420716
000801,067,2827,-80.22558485539797,36.08472023782235
000801,195,1597,-77.90535441031999,35.71439094816124
000802,067,2258,-80.23060842404249,36.076078156999536
000802,195,3383,-77.88985174999715,35.68532714111399
000900,021,3552,-82.5592902357668,35.579102524760906
000900,051,4670,-78.91670089804455,35.071861909765296
000900,063,1783,-78.885934528721,36.000144330141026
000900,067,3589,-80.2490972096223,36.08395690237705
000900,119,1853,-80.81049630260019,35.23730777789763
000900,195,3472,-77.93585416697934,35.634286560689766
000901,133,1139,-77.36564279382024,34.73300496822154
000901,147,3680,-77.24994166037408,35.66687200744747
000901,191,4391,-78.08438920040027,35.33843249471967
000902,133,3877,-77.39767285477602,34.734732531063564
000902,147,2882,-77.19942410831484,35.60010621720559
000902,191,5212,-78.0812589727517,35.25641049022205
001000,021,4620,-82.5757475637272,35.5759931592024
001000,051,2910,-78.90890965495893,35.08393817425603
001000,067,3946,-80.26552803212398,36.07919395533988
001000,119,3466,-80.80835299613962,35.22570796475617
001000,133,6152,-77.45276330387216,34.71825220751282
001000,191,3766,-78.19556446647866,35.27976204335074
001000,195,1839,-77.84451911821462,35.622748616335556
001001,063,3879,-78.87659875768817,35.98535526905956
001001,147,2206,-77.24748929020056,35.59319712154829
001002,063,6140,-78.87005312254581,35.99586433980094
001002,147,6668,-77.2638527049123,35.56846971065328
001003,147,5877,-77.317918188397,35.55511470898152
001100,021,5127,-82.59211850648813,35.57391989780487
001100,051,3937,-78.8975819677815,35.08908757641054
001100,063,4151,-78.88975913611316,35.99033733204433
001100,067,2765,-80.2629270279072,36.09487371749061
001100,119,3317,-80.80619752783144,35.21424323959999
001100,147,5082,-77.22773032831466,35.51692572144881
001100,195,1443,-77.75288155137505,35.661409641526795
001101,133,5068,-77.48777619708162,34.7649944934526
001102,133,4035,-77.47745295191885,34.73691806710582
001102,191,3160,-78.04236191304929,35.41655146365426
001103,191,3717,-78.1009849218235,35.38407251588923
001104,191,3467,-78.10532975278448,35.43634043112327
001200,021,5381,-82.6103609340434,35.571581475846635
001200,051,5677,-78.87803509146978,35.09103100160003
001200,067,2279,-80.2683903066467,36.10955194665257
001200,119,5404,-80.78877674310795,35.226204045125336
001200,147,6349,-77.29606363033105,35.436266663757955
001200,191,3759,-77.97497212640971,35.41205799007696
001200,195,3675,-77.79391986303483,35.73287243788381
001201,133,3367,-77.45242466028685,34.837272790187114
001202,133,8048,-77.45075423582529,34.80967934720692
001300,021,4585,-82.62313605125007,35.58052825423971
001300,067,5265,-80.27615707529444,36.12912163822492
001300,119,3850,-80.7892769361254,35.238992615641074
001301,063,1432,-78.89949647888362,35.98024820855192
001301,133,4048,-77.42498667312373,34.79464982479099
001301,147,4442,-77.42354217990022,35.52636692105701
001301,191,5758,-77.92367286041896,35.394733219319974
001301,195,2719,-77.88601068866141,35.80991392764685
001302,133,3334,-77.37269604679169,34.81700992220937
001302,147,5900,-77.39365689025361,35.520956521768966
001302,191,3491,-77.94409613671218,35.37497110086994
001302,195,2602,-77.80706061447522,35.813395922847604
001303,063,4052,-78.90161729559024,35.97283721516501
001303,133,2431,-77.41030080673114,34.782195023229825
001304,063,2781,-78.90984551518174,35.96662879866131
001304,133,7925,-77.4017983866673,34.80035481235988
001304,147,4186,-77.36797848228261,35.51693210087749
001305,147,4571,-77.35923118017783,35.547211192356514
001400,063,2746,-78.88676917002934,35.97644493539839
001400,067,3883,-80.25584376948143,36.14377519020241
001400,119,3594,-80.79703067737927,35.24600891625848
001400,133,4433,-77.43778275413638,34.77456018790187
001401,021,5028,-82.60182439051403,35.6069920747727
001401,051,3498,-78.81301291319011,35.01447993633492
001401,191,3538,-77.97520268257611,35.3720782417834
001401,195,3380,-77.93846037881897,35.80485631858019
001402,021,2442,-82.58438179071372,35.59815867730118
001402,051,2600,-78.83801582128596,35.04037878086413
001402,147,2530,-77.38319963818465,35.43171281536573
001402,191,2490,-77.98425705189017,35.361873410388675
