tract_new,county,pop100,intptlat,intptlon,tract
001100100,001,4426,38.301564040757235,-112.60509282828508,100100
001100200,001,2646,38.35173374523227,-113.23181255293399,100200
003960100,003,3498,41.6850469442953,-113.07633134669223,960100
003960200,003,8037,41.73290562673611,-112.11172202881944,960200
003960301,003,4500,41.703754235220124,-112.15129786226414,960301
003960302,003,5746,41.70999513417721,-112.18296471392405,960302
003960400,003,5350,41.60859690212766,-112.1723478355623,960400
003960500,003,5311,41.511766694409935,-112.05010027639752,960500
003960601,003,3695,41.516398725925924,-112.00847938641975,960601
003960602,003,2620,41.52065637454545,-111.99640821272727,960602
003960701,003,5379,41.49719257361111,-112.02342593750001,960701
003960702,003,2893,41.49855950727273,-112.00925922545454,960702
003960801,003,5166,41.426008024203824,-112.00947812993631,960801
003960802,003,5471,41.46852202696629,-112.03238665730338,960802
005000101,005,5201,41.9381392625,-111.81927017864584,000101
005000102,005,1682,41.94065488181818,-111.99213040666666,000102
005000201,005,4273,41.837938369642856,-111.84852028303571,000201
005000202,005,10042,41.834230846853146,-111.81664311468532,000202
005000301,005,2312,41.85999479322034,-111.96065977231639,000301
005000302,005,5869,41.72369830769231,-111.87968132,000302
005000401,005,4947,41.76647032769231,-111.82098639076924,000401
005000402,005,4567,41.78635651636364,-111.79477958545455,000402
005000403,005,6530,41.795264999145296,-111.82618688461538,000403
005000501,005,5247,41.742337588333335,-111.843926195,000501
005000502,005,6714,41.75964694054054,-111.84311704324324,000502
005000601,005,4277,41.747346077272724,-111.82318746818181,000601
005000602,005,4107,41.75326267692308,-111.82271153333333,000602
005000701,005,4947,41.75138439176471,-111.7959631117647,000701
005000702,005,3480,41.74732373,-111.81003774999999,000702
005000800,005,4737,41.738160784,-111.82710226,000800
005000900,005,3206,41.73041124634146,-111.82462404390243,000900
005001001,005,2882,41.72092589705883,-111.85393906764706,001001
005001002,005,4626,41.72504991764706,-111.84284009558823,001002
005001101,005,5816,41.71001515747126,-111.82197949885058,001101
005001102,005,5246,41.726884377922076,-111.81134978311688,001102
005001201,005,6226,41.68402876371682,-111.81664629026548,001201
005001202,005,7230,41.680079205982906,-111.85496202649573,001202
005001300,005,7159,41.663361542201834,-111.95184238990825,001300
005001401,005,5392,41.631201684761905,-111.83007552190476,001401
005001402,005,4149,41.637871371276596,-111.86826751489362,001402
005001500,005,2175,41.566707047169814,-111.83435625754717,001500
005980100,005,115,41.660491469131834,-111.61832320707396,980100
007000100,007,3236,39.57104274246576,-110.73898296438357,000100
007000200,007,4211,39.611155164705885,-110.81916008991597,000200
007000300,007,4202,39.598304447008545,-110.80264191709402,000300
007000500,007,4010,39.65122855487465,-110.96258806211699,000500
007000600,007,4753,39.59333894494382,-110.58774730477528,000600
009960100,009,935,40.92017768021108,-109.55217414617414,960100
011125102,011,4290,41.04992186619718,-111.90495597464789,125102
011125103,011,7390,41.1289635,-111.94591799736843,125103
011125104,011,6064,41.11975630243902,-111.91489209512196,125104
011125201,011,3548,41.109617085000004,-112.0023360025,125201
011125301,011,5386,41.139799266666664,-112.0307502888889,125301
011125304,011,5606,41.14660916184211,-112.04720604210526,125304
011125305,011,6449,41.133350772727276,-112.04500694415584,125305
011125306,011,4335,41.145294830508476,-112.07361544237288,125306
011125307,011,8734,41.138487480701755,-112.08833600789474,125307
011125407,011,8219,41.110259524637684,-112.07724720289855,125407
011125408,011,6670,41.11265751097561,-112.11797542560976,125408
011125409,011,5271,41.0844133025641,-112.06078744871795,125409
011125410,011,4223,41.076682432432435,-112.05937817567568,125410
011125411,011,6523,41.066754952000004,-112.076974424,125411
011125412,011,2918,41.081011631034485,-112.03082250689656,125412
011125413,011,6232,41.07277254423077,-112.037812175,125413
011125414,011,5271,41.081850530357144,-112.01368664285714,125414
011125415,011,5093,41.07538767083334,-112.02055870208333,125415
011125501,011,6741,41.11660115138889,-112.05405704583333,125501
011125502,011,5555,41.117418935714284,-112.03427845714286,125502
011125503,011,5657,41.09691885833333,-112.053761925,125503
011125600,011,239,41.098988526666666,-112.03109809333333,125600
011125701,011,4972,41.099169548,-112.01124971,125701
011125702,011,3943,41.11238022711864,-112.01641499322034,125702
011125801,011,7086,41.08274968630137,-111.99473349726027,125801
011125804,011,6480,41.09733657979798,-111.93164536565656,125804
011125805,011,6377,41.08179846486487,-111.97118207837838,125805
011125807,011,3675,41.097478739534886,-111.9675765860465,125807
011125809,011,4513,41.099988204166664,-111.98327824791667,125809
011125810,011,2875,41.09490605,-111.9895887,125810
011125905,011,6701,41.06827660136986,-111.94523658493151,125905
011125906,011,7987,41.05653383203884,-111.93899717184466,125906
011125907,011,2596,41.084056233333335,-111.94082625333333,125907
011125908,011,5201,41.08333280181818,-111.92592491272727,125908
011126001,011,5835,41.06373235,-111.96729829166667,126001
011126002,011,7994,41.054700888349515,-111.9880341592233,126002
011126101,011,6670,41.04576163364486,-111.9295443364486,126101
011126105,011,6436,41.015083380769234,-111.93033093461538,126105
011126106,011,4590,41.02568088970588,-111.9494777882353,126106
011126107,011,3889,41.04243952,-111.981457358,126107
011126108,011,6625,41.02246165454545,-111.96657828545455,126108
011126203,011,4517,41.00551791111111,-111.89837582592592,126203
011126204,011,5304,40.98040388846154,-111.88372101153846,126204
011126205,011,6615,40.99739233764706,-111.91729807882353,126205
011126206,011,7040,40.97674709734513,-111.91917262920354,126206
011126303,011,4723,40.945258994642856,-111.87733175,126303
011126304,011,6955,40.93161753884298,-111.8941259570248,126304
011126305,011,2556,40.916507827027026,-111.86768796216217,126305
011126306,011,7585,40.917090695495496,-111.88141362252252,126306
011126402,011,3606,40.87844447966101,-111.84069557966102,126402
011126404,011,8413,40.83563716914894,-111.89638333829787,126404
011126405,011,3779,40.847382765,-111.8832047125,126405
011126406,011,4770,40.85008142622951,-111.89724472786885,126406
011126500,011,6551,40.89448824880952,-111.8638289904762,126500
011126600,011,5502,40.90022668125,-111.882661525,126600
011126700,011,4218,40.88901441410256,-111.88209433333333,126700
011126801,011,3534,40.876463987804875,-111.86249373170732,126801
011126802,011,5052,40.86598880533333,-111.86247347733334,126802
011126901,011,6123,40.87609018405797,-111.88571920144928,126901
011126902,011,7142,40.862730586764705,-111.88352689705883,126902
011127002,011,8272,40.847346114388486,-111.92639222302158,127002
011127003,011,8446,40.88032210895523,-111.92590468432836,127003
011127005,011,3899,40.87114105581395,-111.91867896046512,127005
011127006,011,4130,40.87512660952381,-111.90337756031747,127006
011127100,011,8538,41.03025402112676,-111.92420525070422,127100
011980000,011,550,41.121292798913046,-111.9943104326087,980000
013940300,013,3994,40.21650712788296,-110.52896888330464,940300
013940501,013,2888,40.29999086067416,-109.98568485168539,940501
013940502,013,5619,40.302481147101446,-110.01240084855073,940502
013940600,013,7095,40.30989544644809,-110.17699280510018,940600
015976200,015,3844,39.34462993502825,-110.87842033248587,976200
015976300,015,2903,39.24370114223301,-111.06983838592232,976300
015976500,015,3078,39.00091329410853,-110.73503830527132,976500
017000300,017,2342,37.763112116049385,-112.46772831234568,000300
017000400,017,2741,37.842115612663754,-111.58423449257641,000400
019000200,019,4676,38.57520497153285,-109.55029376131387,000200
019000301,019,2470,38.53429327162162,-109.48206445,000301
019000302,019,2523,38.75987348304721,-109.6167790581545,000302
021110100,021,4434,37.837742087831856,-112.82541241858407,110100
021110201,021,4488,37.75332100131579,-113.05255469342106,110201
021110202,021,5294,37.87520328832117,-113.11526006861314,110202
021110300,021,4527,37.78449819071207,-113.51200023271414,110300
021110400,021,5031,37.67091284054054,-113.07396127702702,110400
021110501,021,7022,37.708201538666664,-113.061223996,110501
021110502,021,4602,37.697874053947366,-113.05224500526316,110502
021110601,021,1980,37.676222226470585,-113.06124077058823,110601
021110602,021,4751,37.63203034495413,-113.06175468899083,110602
021110702,021,6609,37.619282254112555,-113.16082924458874,110702
021110703,021,4645,37.674008714705884,-113.09392622941176,110703
021110704,021,3906,37.70905109318182,-113.08437568295454,110704
023010100,023,6653,39.71029178778281,-111.83474445294118,010100
023010200,023,5133,39.733565841841845,-112.4234355014014,010200
025130100,025,2392,37.31279208586859,-112.35033962817282,130100
025130200,025,5275,37.071123675,-112.51139173082191,130200
027974100,027,5040,39.383788773798074,-112.46410685576923,974100
027974200,027,2918,39.15024330553991,-113.26093280741784,974200
027974300,027,5017,38.92912899965318,-112.47727003988439,974300
029970101,029,6568,41.12255517195122,-111.70056057195121,970101
029970102,029,4058,41.03404157395833,-111.675535353125,970102
029970200,029,1669,41.02360473962264,-111.71487156792453,970200
031960100,031,1438,38.33120117444169,-112.13185211761787,960100
033950100,033,2510,41.672819224270356,-111.25880084623655,950100
035100100,035,2987,40.78900957826087,-111.9089793152174,100100
035100200,035,1333,40.78993362083333,-111.88975973333334,100200
035100306,035,6043,40.7784657,-111.94395228387097,100306
035100307,035,4968,40.794566677272726,-111.945086975,100307
035100308,035,4025,40.79501311764706,-111.93965690588236,100308
035100500,035,5893,40.78716651754386,-111.92399098421053,100500
035100600,035,6699,40.77750338,-111.92329843857142,100600
035100700,035,2683,40.78026125,-111.89429068,100700
035100800,035,2562,40.773652727272726,-111.89193336818181,100800
035101000,035,3127,40.779896543999996,-111.87383823333333,101000
035101101,035,1973,40.77273009354839,-111.8754074516129,101101
035101102,035,3431,40.77291093103448,-111.8829128724138,101102
035101200,035,3972,40.77221549189189,-111.86214572972973,101200
035101401,035,2171,40.754325816666665,-111.84360176666667,101401
035101402,035,4339,40.7632214075,-111.83310325,101402
035101500,035,3288,40.764987158333334,-111.85686479166667,101500
035101600,035,3742,40.75498643030303,-111.85765103030303,101600
035101700,035,3582,40.76483270526316,-111.86676827894736,101700
035101800,035,3347,40.754363953125,-111.866431153125,101800
035101900,035,3103,40.76482302352941,-111.8760566764706,101900
035102000,035,2837,40.7544371425,-111.87564748,102000
035102100,035,2378,40.7650020625,-111.88250264999999,102100
035102300,035,3153,40.75422307777778,-111.88360485555556,102300
035102501,035,3134,40.768281082608695,-111.90461582608695,102501
035102502,035,2062,40.76306565,-111.90237425000001,102502
035102600,035,4391,40.76141347096774,-111.91752973064516,102600
035102701,035,4752,40.753284209375,-111.9297990296875,102701
035102702,035,3704,40.763574107317076,-111.93223484878048,102702
035102801,035,5919,40.74512753650794,-111.92455092222222,102801
035102802,035,4888,40.73451819473684,-111.92339204912281,102802
035102900,035,5768,40.739817726744185,-111.89522749418605,102900
035103000,035,2756,40.74564041276596,-111.88153093404256,103000
035103100,035,4144,40.737601322807016,-111.87850684736841,103100
035103200,035,4433,40.7297126983871,-111.87932617903226,103200
035103300,035,4256,40.72931670545454,-111.86373695090909,103300
035103400,035,4167,40.73720906590909,-111.86310492045455,103400
035103500,035,4031,40.745832791304345,-111.8632525152174,103500
035103600,035,2671,40.746639693333336,-111.84737886666667,103600
035103700,035,2631,40.73784466111111,-111.84804566388888,103700
035103800,035,2325,40.72940731875,-111.84723303125,103800
035103900,035,3605,40.728896977551024,-111.83402345918367,103900
035104000,035,3302,40.7374523,-111.83229775434782,104000
035104100,035,2941,40.746161335714284,-111.83653436190477,104100
035104200,035,6895,40.738687237878786,-111.81484847575757,104200
035104300,035,2901,40.72643328125,-111.8196546625,104300
035104400,035,2067,40.720405774285716,-111.82297138285715,104400
035104700,035,4818,40.715366247540985,-111.84694263606558,104700
035104800,035,5263,40.70906437285714,-111.85233827285714,104800
035104900,035,3135,40.71806502941176,-111.87261855882353,104900
035110103,035,3562,40.73530420694444,-111.7555934013889,110103
035110104,035,5557,40.67247488380952,-111.78813564476191,110104
035110105,035,2011,40.596694757692305,-111.79093748846154,110105
035110106,035,2519,40.602892154477615,-111.71058020149253,110106
035110200,035,5070,40.70589378305085,-111.81145101694915,110200
035110300,035,5802,40.70593144090909,-111.8378303030303,110300
035110401,035,3401,40.69185134285714,-111.84758827142858,110401
035110402,035,3873,40.69265609090909,-111.83237950227273,110402
035110500,035,6425,40.69297705647059,-111.80954202470588,110500
035110600,035,5825,40.68127101518987,-111.81130803544303,110600
035110701,035,3798,40.68067856666667,-111.84936531111111,110701
035110702,035,5199,40.680491296153846,-111.8339487423077,110702
035110800,035,5813,40.66757113529412,-111.83405067843137,110800
035110900,035,4923,40.668672572727274,-111.81425248000001,110900
035111001,035,4594,40.64753308939394,-111.82074016212121,111001
035111002,035,5627,40.62936366,-111.81650630363636,111002
035111104,035,2982,40.64183258,-111.85844592571428,111104
035111105,035,3847,40.65686056981132,-111.86009646037736,111105
035111106,035,3118,40.66098829677419,-111.84359223870968,111106
